iter	Logloss
0	0.6768444286
1	0.6527697619
2	0.6324302449
3	0.6129278856
4	0.5946886399
5	0.5687727648
6	0.5559723798
7	0.5388783287
8	0.5200029261
9	0.5059462155
10	0.4910548715
11	0.4756597631
12	0.4574421153
13	0.4446675918
14	0.4351187874
15	0.4216446596
16	0.4141334926
17	0.4018724385
18	0.3872474222
19	0.3784736465
20	0.3692869299
21	0.3601505336
22	0.3545935294
23	0.3479531793
24	0.3389701002
25	0.3286784396
26	0.3182665881
27	0.3103747368
28	0.3047899358
29	0.2962990649
30	0.2926439397
31	0.2853238162
32	0.277524331
33	0.2727633364
34	0.2689512758
35	0.2627935971
36	0.2560844421
37	0.2519164927
38	0.2484486524
39	0.2433553583
40	0.2388296408
41	0.2348308002
42	0.2304328329
43	0.2277248326
44	0.2223432765
45	0.2173068243
46	0.2126073136
47	0.2086709808
48	0.2045695361
49	0.1987122227
50	0.1959810397
51	0.1914753353
52	0.1879945923
53	0.1852306759
54	0.1816627839
55	0.1773001446
56	0.1746246674
57	0.1724583121
58	0.1691383194
59	0.1679078551
60	0.1656011133
61	0.1637581937
62	0.1602054904
63	0.1577431735
64	0.1548520677
65	0.1519674694
66	0.1493794497
67	0.1462016246
68	0.1437634861
69	0.1414130155
70	0.1391892153
71	0.1368557706
72	0.1344912473
73	0.132452544
74	0.1304050614
75	0.1283185061
76	0.1266940902
77	0.1246315171
78	0.1229677902
79	0.1196958177
80	0.1170395893
81	0.1148824201
82	0.1130574661
83	0.1116405515
84	0.1101088103
85	0.1084179738
86	0.1063405065
87	0.1041151005
88	0.1018989928
89	0.10008326
90	0.09851275472
91	0.0966777521
92	0.09515521106
93	0.09386647449
94	0.0914142833
95	0.09020761883
96	0.0889339447
97	0.08746745306
98	0.08528341967
99	0.08403539658
100	0.08307022207
101	0.08169349502
102	0.0808263947
103	0.0793467129
104	0.07805689643
105	0.07669824011
106	0.07540309429
107	0.07412194504
108	0.07289067437
109	0.07190992552
110	0.07041429071
111	0.06888974414
112	0.06790593792
113	0.06703548572
114	0.06570356032
115	0.06504573542
116	0.06392213878
117	0.06280615049
118	0.06184106715
119	0.06058158594
120	0.05992054238
121	0.05909226922
122	0.05827965456
123	0.05770982013
124	0.05672495856
125	0.05568913151
126	0.05464004769
127	0.05328804605
128	0.05238678175
129	0.05147936414
130	0.05055357779
131	0.04981219067
132	0.04898478354
133	0.04804506021
134	0.0474086509
135	0.04661690838
136	0.04590381594
137	0.04519321638
138	0.04442802948
139	0.04398115593
140	0.0433805059
141	0.04264274064
142	0.04185510032
143	0.04160176305
144	0.04116216828
145	0.04047110852
146	0.04022276051
147	0.03974809366
148	0.03945088737
149	0.03908918184
150	0.03847956657
151	0.03826068079
152	0.03783116621
153	0.03726986927
154	0.03688306318
155	0.036487383
156	0.03605585239
157	0.03562845903
158	0.0354327875
159	0.03507618694
160	0.03465857927
161	0.03418208571
162	0.0338042729
163	0.03334328708
164	0.0329024932
165	0.03241824403
166	0.03213729227
167	0.03168003349
168	0.03135652752
169	0.03108951625
170	0.03078584811
171	0.03046821847
172	0.03006066645
173	0.02966371003
174	0.02940362341
175	0.02905637902
176	0.02868913552
177	0.02846194716
178	0.02811347386
179	0.02792767216
180	0.02761474427
181	0.02740364566
182	0.02708480113
183	0.02677352463
184	0.02660962589
185	0.02634772483
186	0.02605317445
187	0.0257739565
188	0.02562653317
189	0.02535609287
190	0.02509394113
191	0.02489616941
192	0.02474889685
193	0.02451591983
194	0.02431441055
195	0.02417746011
196	0.02393788801
197	0.02374745993
198	0.02351781551
199	0.0232972117
200	0.023116394
201	0.02299674644
202	0.02289367248
203	0.02268124679
204	0.02258134064
205	0.02242202969
206	0.02222076584
207	0.02206176344
208	0.02188467979
209	0.02175865103
210	0.02158726839
211	0.02142046129
212	0.0212282293
213	0.02105314591
214	0.02097324413
215	0.02089462561
216	0.02077622975
217	0.02070001995
218	0.02053346178
219	0.02045876489
220	0.02034459044
221	0.02024326254
222	0.02017128117
223	0.02010084426
224	0.02003273718
225	0.01992483525
226	0.01985706652
227	0.01979093692
228	0.01972606953
229	0.01966230659
230	0.01955888377
231	0.01946675602
232	0.01940434821
233	0.01926890892
234	0.01920756172
235	0.0191474627
236	0.01901844845
237	0.01896064772
238	0.01875014165
239	0.01862770144
240	0.01842764371
241	0.01834116964
242	0.01822930574
243	0.01812032742
244	0.01803747871
245	0.01793145082
246	0.01782707607
247	0.01772583758
248	0.01766606815
249	0.01760737686
250	0.0175129666
251	0.0174708419
252	0.01737846697
253	0.01719977575
254	0.01703000069
255	0.01695638895
256	0.01688480027
257	0.01672362931
258	0.0166264527
259	0.01653128512
260	0.01646334283
261	0.01637809767
262	0.01629550317
263	0.01614226489
264	0.01603608272
265	0.01595766053
266	0.01591228212
267	0.01581089111
268	0.01571088503
269	0.01566748584
270	0.01557019002
271	0.01549662211
272	0.0154549462
273	0.0153605938
274	0.01532013276
275	0.01522789983
276	0.01513658201
277	0.01509642952
278	0.01500732057
279	0.01492009794
280	0.01485489396
281	0.01481725013
282	0.01473277983
283	0.01469592136
284	0.01461317346
285	0.01453205592
286	0.01447125042
287	0.0144358514
288	0.01438210291
289	0.01434959121
290	0.01431504768
291	0.01424601674
292	0.01417790616
293	0.01411677809
294	0.01405915092
295	0.01402594587
296	0.01394766219
297	0.0138820252
298	0.01382380987
299	0.01375987425
300	0.01369279448
301	0.01361913278
302	0.0135578855
303	0.01349414797
304	0.01344768265
305	0.01338539755
306	0.01330411084
307	0.01325894103
308	0.01321452155
309	0.01313626503
310	0.01306561074
311	0.01300238862
312	0.01294043134
313	0.01284443806
314	0.01278722023
315	0.01272354669
316	0.01267641257
317	0.01261407663
318	0.01256799873
319	0.01252743251
320	0.0124670346
321	0.01242251607
322	0.01237129639
323	0.01232495027
324	0.01227842096
325	0.01223989532
326	0.01218768604
327	0.01214955922
328	0.01209231773
329	0.01205547592
330	0.01199810119
331	0.01195114237
332	0.01191440225
333	0.01186225695
334	0.01180788699
335	0.01174700611
336	0.01171156326
337	0.01166075819
338	0.01160511374
339	0.01155080865
340	0.01151170275
341	0.01146898901
342	0.01139298432
343	0.01135586377
344	0.01133280291
345	0.0112902636
346	0.01125779573
347	0.01121138825
348	0.01113936393
349	0.01109416695
350	0.0110725217
351	0.01102005559
352	0.01099845767
353	0.01097782044
354	0.01095703595
355	0.01091476398
356	0.01087284088
357	0.01083438449
358	0.01079311792
359	0.01074731701
360	0.01070134605
361	0.01067246584
362	0.01062717858
363	0.01059835974
364	0.01055428298
365	0.01052600934
366	0.01048693499
367	0.01045448289
368	0.01042670012
369	0.01038377864
370	0.01035592486
371	0.01031389131
372	0.01028678873
373	0.01024981457
374	0.01020900642
375	0.01018267695
376	0.01014250868
377	0.01011607314
378	0.01008062678
379	0.01004146653
380	0.01001590929
381	0.009976057445
382	0.009950603632
383	0.009918375927
384	0.009879319107
385	0.009854268502
386	0.009816114517
387	0.009791940451
388	0.009753854836
389	0.009711643352
390	0.00967507152
391	0.009650141001
392	0.009609357399
393	0.009569201399
394	0.009529604631
395	0.009494512397
396	0.009461159215
397	0.00942817418
398	0.009391395485
399	0.009358570856
400	0.009323437424
401	0.009285562179
402	0.009260203908
403	0.009234251345
404	0.009198168621
405	0.009173275793
406	0.009147251354
407	0.009116075495
408	0.0090818747
409	0.009057413129
410	0.009042798596
411	0.009028177051
412	0.009003782097
413	0.008955324397
414	0.008923115976
415	0.008892793866
416	0.008869748782
417	0.008822753149
418	0.008795157951
419	0.008767738062
420	0.008737415952
421	0.008715326295
422	0.008685054148
423	0.008662655073
424	0.008640887983
425	0.008627167519
426	0.008613649537
427	0.008584314409
428	0.008561651496
429	0.008534950369
430	0.008514511235
431	0.008491978049
432	0.008463323116
433	0.0084374547
434	0.008417546749
435	0.00839604788
436	0.008353368324
437	0.008325922139
438	0.008301242309
439	0.008281961083
440	0.008262757869
441	0.008241463233
442	0.008215206511
443	0.008188245051
444	0.00816161317
445	0.008137993953
446	0.008119928486
447	0.008101793773
448	0.008081564132
449	0.008042305708
450	0.008013951428
451	0.007989317179
452	0.007971516427
453	0.007954306462
454	0.007911733845
455	0.007883940549
456	0.007866893621
457	0.007847912171
458	0.007820778033
459	0.007801958743
460	0.007765116937
461	0.007741481942
462	0.007719905937
463	0.007703185081
464	0.007663775893
465	0.007638498264
466	0.007622447084
467	0.007606612409
468	0.007591216003
469	0.007553396856
470	0.007528552238
471	0.007503868902
472	0.007479692207
473	0.007458192461
474	0.007434205097
475	0.007398118868
476	0.007374815205
477	0.007352510796
478	0.007330520188
479	0.007308583926
480	0.007294164861
481	0.007272452554
482	0.007258032175
483	0.007241802181
484	0.007218839053
485	0.007203901954
486	0.007189866375
487	0.007173838423
488	0.007151566446
489	0.007129819516
490	0.007107902099
491	0.007086567581
492	0.007067200454
493	0.007045845775
494	0.007025204599
495	0.007004430189
496	0.00698443546
497	0.006964394275
498	0.006944662946
499	0.006931601202
