iter	Passed	Remaining
0	177	88701
1	187	46682
2	198	32821
3	203	25255
4	207	20560
5	211	17453
6	216	15267
7	220	13543
8	223	12177
9	226	11081
10	229	10182
11	232	9435
12	235	8834
13	238	8284
14	241	7805
15	244	7382
16	246	7008
17	249	6686
18	252	6391
19	255	6137
20	258	5901
21	261	5683
22	264	5483
23	267	5301
24	270	5132
25	272	4975
26	276	4838
27	279	4705
28	281	4577
29	284	4458
30	287	4348
31	290	4246
32	293	4152
33	296	4060
34	299	3972
35	302	3895
36	304	3815
37	307	3743
38	310	3670
39	313	3605
40	316	3545
41	319	3485
42	322	3427
43	325	3370
44	328	3319
45	331	3268
46	334	3227
47	337	3182
48	340	3137
49	343	3094
50	346	3052
51	349	3010
52	352	2970
53	355	2933
54	358	2896
55	360	2861
56	363	2828
57	367	2797
58	370	2766
59	373	2741
60	376	2712
61	379	2684
62	382	2656
63	385	2628
64	388	2600
65	391	2577
66	395	2554
67	398	2530
68	401	2506
69	404	2483
70	407	2462
71	410	2439
72	414	2421
73	417	2400
74	419	2379
75	422	2358
76	425	2338
77	428	2317
78	430	2296
79	434	2279
80	437	2261
81	440	2244
82	443	2226
83	446	2209
84	449	2193
85	452	2179
86	455	2163
87	458	2147
88	461	2131
89	464	2115
90	467	2100
91	470	2084
92	473	2070
93	475	2055
94	478	2040
95	481	2025
96	483	2010
97	486	1996
98	489	1982
99	492	1971
100	495	1957
101	498	1943
102	500	1930
103	503	1917
104	506	1905
105	509	1894
106	512	1883
107	515	1871
108	518	1859
109	521	1847
110	524	1836
111	527	1825
112	529	1813
113	532	1804
114	535	1793
115	538	1782
116	541	1772
117	544	1761
118	547	1751
119	549	1740
120	552	1731
121	555	1721
122	558	1712
123	561	1702
124	564	1693
125	567	1683
126	570	1674
127	573	1665
128	576	1656
129	578	1647
130	581	1639
131	584	1630
132	587	1621
133	591	1614
134	593	1605
135	596	1596
136	599	1588
137	602	1579
138	604	1570
139	607	1562
140	610	1555
141	613	1547
142	616	1538
143	619	1530
144	621	1522
145	624	1514
146	627	1506
147	630	1500
148	633	1492
149	636	1484
150	639	1477
151	641	1469
152	644	1462
153	647	1454
154	650	1448
155	653	1441
156	656	1434
157	659	1427
158	662	1420
159	665	1413
160	667	1406
161	671	1400
162	674	1393
163	676	1386
164	679	1380
165	682	1373
166	685	1367
167	688	1361
168	691	1354
169	694	1348
170	697	1341
171	700	1335
172	703	1329
173	706	1323
174	709	1317
175	712	1311
176	715	1304
177	718	1298
178	720	1292
179	723	1286
180	726	1280
181	729	1275
182	732	1269
183	735	1263
184	738	1257
185	741	1251
186	744	1245
187	746	1239
188	749	1233
189	752	1228
190	755	1222
191	758	1216
192	761	1211
193	764	1206
194	768	1201
195	771	1196
196	773	1190
197	776	1185
198	780	1179
199	783	1174
200	785	1169
201	789	1164
202	792	1159
203	795	1154
204	798	1149
205	801	1144
206	804	1138
207	807	1133
208	810	1128
209	813	1123
210	816	1118
211	819	1113
212	823	1109
213	825	1103
214	829	1099
215	832	1094
216	835	1090
217	838	1085
218	842	1080
219	845	1075
220	848	1071
221	852	1066
222	855	1062
223	858	1057
224	861	1052
225	864	1048
226	868	1044
227	871	1040
228	875	1035
229	878	1031
230	881	1026
231	884	1021
232	888	1018
233	891	1013
234	894	1009
235	897	1004
236	901	1000
237	904	995
238	908	991
239	911	987
240	914	983
241	918	978
242	921	974
243	924	969
244	928	966
245	931	962
246	935	957
247	938	953
248	941	949
249	944	944
250	948	940
251	951	936
252	954	931
253	957	927
254	961	923
255	964	918
256	967	915
257	971	910
258	974	906
259	977	902
260	981	898
261	984	893
262	987	890
263	990	885
264	994	881
265	997	877
266	1001	873
267	1003	869
268	1007	865
269	1010	861
270	1014	856
271	1017	852
272	1020	848
273	1023	844
274	1027	840
275	1030	836
276	1033	832
277	1037	828
278	1040	824
279	1043	819
280	1047	816
281	1050	812
282	1053	807
283	1057	803
284	1060	799
285	1063	795
286	1066	791
287	1070	787
288	1073	783
289	1076	779
290	1080	775
291	1083	771
292	1086	767
293	1089	763
